Date	Close
25/03/2019	10
25/03/2019	79
26/03/2019	55
26/03/2019	77
26/03/2019	72
26/03/2019	18
27/03/2019	93
27/03/2019	71
27/03/2019	32
27/03/2019	04
28/03/2019	17
28/03/2019	65
28/03/2019	94
28/03/2019	21
29/03/2019	81
29/03/2019	79
29/03/2019	64
29/03/2019	96
30/03/2019	39
30/03/2019	90
30/03/2019	69
30/03/2019	66
04/01/2019	41
04/01/2019	22
04/01/2019	67
04/01/2019	17
04/02/2019	10
04/02/2019	64
04/02/2019	44
04/03/2019	14
04/03/2019	00
04/03/2019	86
04/03/2019	96
04/04/2019	29
04/04/2019	06
04/04/2019	15
04/04/2019	18
04/05/2019	68
04/05/2019	86
04/05/2019	87
04/05/2019	42
04/06/2019	26
04/06/2019	10
04/06/2019	60
04/06/2019	03
04/08/2019	94
04/08/2019	17
04/08/2019	81
04/08/2019	32
04/09/2019	83
04/09/2019	78
04/09/2019	21
04/09/2019	06
04/10/2019	19
04/10/2019	15
04/10/2019	05
04/10/2019	08
04/11/2019	34
04/11/2019	32
04/11/2019	13
04/11/2019	17
04/12/2019	22
04/12/2019	36
04/12/2019	65
04/12/2019	04
13/04/2019	71
13/04/2019	20
13/04/2019	25
13/04/2019	08
15/04/2019	49
15/04/2019	94
15/04/2019	91
15/04/2019	87
16/04/2019	74
16/04/2019	61
16/04/2019	94
16/04/2019	38
17/04/2019	50
17/04/2019	76
17/04/2019	84
17/04/2019	81
18/04/2019	48
18/04/2019	29
18/04/2019	70
20/04/2019	26
20/04/2019	41
20/04/2019	96
20/04/2019	26
22/04/2019	75
22/04/2019	32
22/04/2019	71
22/04/2019	82
23/04/2019	20
23/04/2019	31
23/04/2019	90
23/04/2019	26
24/04/2019	11
24/04/2019	64
24/04/2019	23
24/04/2019	85
25/04/2019	12
25/04/2019	97
25/04/2019	74
25/04/2019	33
26/04/2019	92
26/04/2019	44
26/04/2019	08
26/04/2019	83
27/04/2019	58
27/04/2019	38
27/04/2019	00
27/04/2019	51
29/04/2019	81
29/04/2019	30
29/04/2019	29
29/04/2019	62
30/04/2019	51
30/04/2019	81
30/04/2019	86
30/04/2019	72
05/02/2019	87
05/02/2019	76
05/02/2019	28
05/02/2019	38
05/03/2019	02
05/03/2019	50
05/03/2019	17
05/03/2019	19
05/04/2019	23
05/04/2019	43
05/04/2019	43
05/04/2019	62
05/06/2019	20
05/06/2019	06
05/06/2019	82
05/06/2019	51
05/07/2019	45
05/07/2019	36
05/07/2019	59
05/07/2019	25
05/08/2019	89
05/08/2019	17
05/08/2019	04
05/08/2019	38
05/09/2019	21
05/09/2019	00
05/09/2019	55
05/09/2019	70
05/10/2019	21
05/10/2019	95
05/10/2019	84
05/10/2019	53
05/11/2019	60
05/11/2019	34
05/11/2019	89
05/11/2019	79
13/05/2019	97
13/05/2019	32
13/05/2019	78
13/05/2019	77
14/05/2019	88
14/05/2019	27
14/05/2019	04
14/05/2019	72
15/05/2019	38
15/05/2019	01
15/05/2019	88
15/05/2019	66
16/05/2019	83
16/05/2019	75
16/05/2019	67
16/05/2019	09
17/05/2019	64
17/05/2019	81
17/05/2019	28
17/05/2019	41
18/05/2019	23
